city,lat,lon
Mumbai,19.076,72.877
Delhi,28.704,77.102
Bangalore,12.971,77.594
Hyderabad,17.385,78.486
Ahmedabad,23.022,72.571
Chennai,13.082,80.270
Kolkata,22.572,88.363
Surat,21.170,72.831
Pune,18.520,73.856
Jaipur,26.912,75.787
Lucknow,26.846,80.946
Kanpur,26.449,80.331
Nagpur,21.145,79.088
Indore,22.719,75.857
Thane,19.218,72.978
Bhopal,23.259,77.412
Visakhapatnam,17.686,83.218
Pimpri-Chinchwad,18.629,73.799
Patna,25.594,85.137
Vadodara,22.307,73.181
Ghaziabad,28.669,77.453
Ludhiana,30.901,75.857
Agra,27.176,78.008
Nashik,19.997,73.789
Ranchi,23.344,85.309
Faridabad,28.408,77.317
Meerut,28.984,77.706
Rajkot,22.303,70.802
Kalyan-Dombivli,19.240,73.130
Vasai-Virar,19.391,72.839
Varanasi,25.317,82.973
Srinagar,34.083,74.797
Aurangabad,19.876,75.343
Dhanbad,23.795,86.430
Gurgaon,28.459,77.026
Amritsar,31.634,74.872
Navi Mumbai,19.033,73.029
Allahabad,25.435,81.846
Howrah,22.595,88.263
Gwalior,26.212,78.177
Jabalpur,23.181,79.986
Coimbatore,11.016,76.955
Vijayawada,16.506,80.648
Jodhpur,26.238,73.024
Madurai,9.9252,78.119
Raipur,21.251,81.629
Kota,25.213,75.864
Chandigarh,30.733,76.779
Guwahati,26.144,91.736
Solapur,17.659,75.906
